source,timestamp,asset_id,asset_type,area,criticality,criticality_score,temperature,vibration,current,pressure,rpm,alarm_count,delay_hours,spare_lead_time_days,failure_label,failure_mode,seq_id,seq_count,seq_pct,failure_in_7d,ml_failure_risk,ml_failure_pred,anomaly_score,is_anomaly,temperature_slope_24h,vibration_slope_24h,pressure_slope_24h,current_slope_24h,anomaly_events_24h,operational_rule_score,hybrid_health_score,hybrid_failure_risk,failure_risk,failure_pred,risk_band,estimated_rul_days
steel_demo_app,2026-05-09 21:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,53.356,3.846,39.499,10.292,980.421,0,0.0,6,0,normal,0,720,0.0,0,0.5307292784557124,1,0.032713088141738456,1,0.0,0.0,0.0,0.0,1.0,27.0,38.73281753050706,0.3873,0.3873,0,MEDIUM,25.2
steel_demo_app,2026-05-09 22:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,53.129,2.423,44.643,10.157,979.767,0,0.0,6,0,normal,1,720,0.001388888888888889,0,0.1192822023403509,1,-0.020888687621093693,0,0.0,0.0,0.0,0.0,1.0,27.0,20.21769910531579,0.2022,0.2022,0,LOW,34.4
steel_demo_app,2026-05-09 23:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,52.903,2.732,40.957,9.907,968.884,0,0.0,6,0,normal,2,720,0.002777777777777778,0,0.20111317366324238,1,-0.05778726262593392,0,0.0,0.0,0.0,0.0,1.0,27.0,23.90009281484591,0.239,0.239,0,LOW,32.6
steel_demo_app,2026-05-10 00:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,53.206,3.417,40.738,10.07,978.407,0,0.0,6,0,normal,3,720,0.004166666666666667,0,0.2092974945434039,1,-0.057121447277761195,0,-0.06760000000000435,-0.09780000000000057,-0.09160000000000028,0.0030999999999955963,1.0,27.0,24.268387254453177,0.2427,0.2427,0,LOW,32.0
steel_demo_app,2026-05-10 01:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,52.46,2.78,40.41,10.21,979.617,0,0.0,6,0,normal,4,720,0.005555555555555556,0,0.07284843126727394,1,-0.06354056055804896,0,-0.17150000000000648,-0.11380000000000048,-0.025100000000000816,-0.20830000000000332,1.0,27.0,18.12817940702733,0.1813,0.1813,0,LOW,35.4
steel_demo_app,2026-05-10 02:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,54.831,3.016,40.333,10.245,983.785,0,0.0,6,0,normal,5,720,0.006944444444444444,0,0.10643489741545947,1,-0.015903140466166477,0,0.16202857142857408,-0.06840000000000022,0.002485714285713612,-0.24994285714285824,1.0,27.0,19.639570383695677,0.1964,0.1964,0,LOW,34.1
steel_demo_app,2026-05-10 03:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,53.018,3.417,40.825,9.975,978.971,0,0.0,6,0,normal,6,720,0.008333333333333333,0,0.1768738127793265,1,-0.06696743878930383,0,0.06953571428571444,-0.0018928571428573021,-0.01685714285714233,-0.18532142857142428,1.0,27.0,22.809321575069696,0.2281,0.2281,0,LOW,32.8
steel_demo_app,2026-05-10 04:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,50.193,2.908,44.405,10.047,971.924,0,0.0,6,0,normal,7,720,0.009722222222222222,0,0.16572811496253784,1,-0.031227258972014116,0,-0.2102142857142815,-0.016440476190476085,-0.017511904761904104,0.1553809523809545,1.0,27.0,22.307765173314205,0.2231,0.2231,0,LOW,33.3
steel_demo_app,2026-05-10 05:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,49.822,3.583,41.837,9.871,978.356,0,0.0,6,0,normal,8,720,0.011111111111111112,0,0.35236145716548317,1,-0.0320168458855023,0,-0.35148333333333115,0.022866666666666754,-0.02838333333333299,0.13281666666666958,1.0,27.0,30.706265572446743,0.3071,0.3071,0,LOW,28.9
steel_demo_app,2026-05-10 06:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,49.932,3.498,41.293,10.273,980.31,0,0.0,6,0,normal,9,720,0.0125,0,0.29839810437520353,1,-0.0183219450047718,0,-0.3982303030303028,0.03699393939393942,-0.010442424242424104,0.08441212121212313,1.0,27.0,28.27791469688416,0.2828,0.2828,0,LOW,30.1
steel_demo_app,2026-05-10 07:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,54.001,3.09,43.536,10.144,983.74,0,0.0,6,0,normal,10,720,0.013888888888888888,0,0.11514738151444931,1,-0.04567676714035013,0,-0.2206727272727271,0.024472727272727292,-0.0060454545454546975,0.15612727272727497,1.0,27.0,20.03163216815022,0.2003,0.2003,0,LOW,34.3
steel_demo_app,2026-05-10 08:00:00,GBX-17,Gearbox,Finishing Mill,Critical,4,52.487,2.919,45.448,9.819,980.026,0,0.0,6,0,normal,11,720,0.015277777777777777,0,0.12052464056507675,1,-0.032612952483576096,0,-0.16797902097901957,0.009730769230769369,-0.015776223776223522,0.2650349650349661,1.0,27.0,20.273608825428454,0.2027,0.2027,0,LOW,34.3
